"game","language","name","setCode","reason"
"POKEMON","ja","Gift Box Mew - Lucario (Mightyena Quarter Deck)","","no_jp_set_logo_mapping"
"POKEMON","ja","Gift Box Mew - Lucario (Pokemon Star)","","no_jp_set_logo_mapping"
"POKEMON","ja","Holon Research Tower Fire Quarter Deck","","no_jp_set_logo_mapping"
"POKEMON","ja","Holon Research Tower Lightning Quarter Deck","","no_jp_set_logo_mapping"
"POKEMON","ja","Holon Research Tower Water Quarter Deck","","no_jp_set_logo_mapping"
"POKEMON","ja","Movie Commemoration VS Pack: Aura's Lucario","","no_jp_set_logo_mapping"
"POKEMON","ja","Master Kit (Bulbasaur)","","no_jp_set_logo_mapping"
"POKEMON","ja","Master Kit (Side Deck)","","no_jp_set_logo_mapping"
"POKEMON","ja","Master Kit (Torchic)","","no_jp_set_logo_mapping"
"POKEMON_JAPAN","en","Mirage's Mew Constructed Starter Deck","","no_jp_set_logo_mapping"
"POKEMON","ja","Mirage's Mew Constructed Starter Deck","","no_jp_set_logo_mapping"
"POKEMON","ja","Golden Sky, Silvery Ocean","","no_jp_set_logo_mapping"
"POKEMON","ja","PokéPark Blue","","no_jp_set_logo_mapping"
"POKEMON","ja","PokePark Forest","","no_jp_set_logo_mapping"
"POKEMON","ja","Feraligatr Constructed Starter Deck","","no_jp_set_logo_mapping"
"POKEMON","ja","Meganium Constructed Starter Deck","","no_jp_set_logo_mapping"
"POKEMON","ja","Typhlosion Constructed Starter Deck","","no_jp_set_logo_mapping"
"POKEMON_JAPAN","en","Fire Quick Construction Pack","","no_jp_set_logo_mapping"
"POKEMON","ja","Fighting Quick Construction Pack","","no_jp_set_logo_mapping"
"POKEMON","ja","Fire Quick Construction Pack","","no_jp_set_logo_mapping"
"POKEMON","ja","Grass Quick Construction Pack","","no_jp_set_logo_mapping"
"POKEMON","ja","Lightning Quick Construction Pack","","no_jp_set_logo_mapping"
"POKEMON","ja","Psychic Quick Construction Pack","","no_jp_set_logo_mapping"
"POKEMON","ja","Water Quick Construction Pack","","no_jp_set_logo_mapping"
"POKEMON","ja","Emerald Gift Box (Deoxys)","","no_jp_set_logo_mapping"
"POKEMON","ja","Emerald Gift Box (Rayquaza)","","no_jp_set_logo_mapping"
"POKEMON","ja","Silver Deck Kit","","no_jp_set_logo_mapping"
"POKEMON","ja","Movie Commemoration VS Pack: Sky-Splitting Deoxys","","no_jp_set_logo_mapping"
"POKEMON","ja","Deoxys Constructed Starter Deck","","no_jp_set_logo_mapping"
"POKEMON","ja","Rayquaza Constructed Starter Deck","","no_jp_set_logo_mapping"
"POKEMON","ja","Random Constructed Starter Decks (Venusaur/Charizard/Blastoise)","","no_jp_set_logo_mapping"
"POKEMON","ja","PCG-P Promotional cards","","no_jp_set_logo_mapping"
"POKEMON","ja","Metagross Constructed Starter Deck","","no_jp_set_logo_mapping"
"POKEMON","ja","Gift Box (Latias)","","no_jp_set_logo_mapping"
"POKEMON","ja","Gift Box (Latios)","","no_jp_set_logo_mapping"
"POKEMON_JAPAN","en","Magma Deck Kit","","no_jp_set_logo_mapping"
"POKEMON","ja","Aqua Deck Kit","","no_jp_set_logo_mapping"
"POKEMON","ja","Magma Deck Kit","","no_jp_set_logo_mapping"
"POKEMON","ja","Magma VS Aqua: Two Ambitions","","no_jp_set_logo_mapping"
"POKEMON_JAPAN","en","Flygon Constructed Starter Deck","","no_jp_set_logo_mapping"
"POKEMON_JAPAN","en","Salamence Constructed Starter Deck","","no_jp_set_logo_mapping"
"POKEMON","ja","Flygon Constructed Starter Deck","","no_jp_set_logo_mapping"
"POKEMON","ja","Salamence Constructed Starter Deck","","no_jp_set_logo_mapping"
"POKEMON","ja","ADV Expansion Pack","","no_jp_set_logo_mapping"
"POKEMON","ja","Mudkip Constructed Starter Deck","","no_jp_set_logo_mapping"
"POKEMON","ja","Torchic Constructed Starter Deck","","no_jp_set_logo_mapping"
"POKEMON","ja","Treecko Constructed Starter Deck","","no_jp_set_logo_mapping"
"POKEMON","ja","ADV-P Promotional cards","","no_jp_set_logo_mapping"
"POKEMON","ja","McDonald's Pokémon-e Minimum Pack","","no_jp_set_logo_mapping"
"POKEMON_JAPAN","en","Pokemon-e Starter Deck","","no_jp_set_logo_mapping"
"POKEMON","ja","Base Expansion Pack","","no_jp_set_logo_mapping"
"POKEMON","ja","Pokemon-e Starter Deck","","no_jp_set_logo_mapping"
"POKEMON","ja","Pokemon Web","","no_jp_set_logo_mapping"
